Name,Address,City,PostalCode,Country
Jeux Barjo,12 Rue Saint-James,Bordeaux,33000,France
La Muse Café,10 Rue Brascassat,Bordeaux,33800,France
L'Antre Jeux,3 Rue Jules Guesde,Limoges,87000,France
Laluditavern,11 rue Valery Meunier,Pau,64000,France
Baraka Jeux - Montpellier,Allée Ulysse,Montpellier,34000,France
Game Taverne,22 Rue de Candolle,Montpellier,34000,France
Les Castors,12 rue des trésoriers de la bourse,Montpellier,34000,France
Baraka Jeux,1 Boulevard de la Gare,Toulouse,31500,France
BlastoDice,52 avenue Honoré Serres,Toulouse,31000,France
La Taverne du Troll,11 Avenue Maurice Hauriou,Toulouse,31000,France
Les Tricheurs - Bar ludique,34 rue des Blanchers,Toulouse,31000,France
Yggdrasil,65 Rue Pargaminières,Toulouse,31000,France
"Le Warp, Taverne Ludique",Rue Stephane Guilleme,La Roche sur Yon,85000,France
La Fabrik a Jeux,1bis Quai Turenne,Nantes,44000,France
Sur un plateau - Bar à jeux,36 Rue Léon Jamin,Nantes,44000,France
PlatÔbar Bar à Jeux à Aix en Provence,40 rue des Tanneurs,Aix-en-Provence,13100,France
Au Café des Meeples Avignon,160 Rue Carreterie,Avignon,84000,France
Le Barjoc,"03, rue du Docteur Honnorat",Digne-les-Bains,04000,France
Baraka Jeux - Marseille,21 Cours Julien,Marseille,13006,France
La Case Depart,23 Quai Eugene Meslin,Caen,14000,France
Café Jeux Natema.,39 Rue des Orteaux,Paris,75020,France
La Revanche,38 Avenue Daumesnil,Paris,75012,France
Les Mauvais Joueurs,46 Rue Sedaine,Paris,75011,France
La malle d'Apolline,14 avenue de Laon,Reims,51100,France
EPISODE 0,19 Rue des Magasins,Strasbourg,57000,France
Brettspielplatz - Das Spielecafé,Waldstraße 50,Berlin,10551,Germany
Interface Bar,Perleberger Str. 17,Berlin,10559,Germany
Spiele-Wirtschaft,Martin-Luther-Str. 84,Berlin,10825,Germany
Spielwiese Berlin,Kopernikusstraße 24,Berlin,10245,Germany
Gaststätte Zu den vier Winden,Hofsteder Str. 94,Bochum,44809,Germany
Voyager - Boardgame Bar Bonn,Rheingasse 7,Bonn,53113,Germany
Gastspielhaus,Heinheimer Straße 53,Darmstadt,64289,Germany
Barneby,Görlitzer Str. 11,Dresden,01099,Germany
White Rabbit ,Segerothstraße 81,Essen,45141,Germany
Spielezeitcafe,Angelburger Straße 49,Flensburg,24937,Germany
FreiSpiel,Lehener Strae 15,Freiburg,79106,Germany
