,City_name,Venue_name,Venue_cat,Venue_catID
161,Adıyaman,Adıyaman JÖH,Military Base,4e52adeebd41615f56317744
162,Adıyaman,Perre Antik Kenti,Historic Site,4deefb944765f83613cdba6e
163,Adıyaman,Adam Gibi Bir Yer Cafe & Restaurant,Café,4bf58dd8d48988d16d941735
164,Adıyaman,karadut ortaokulu,School,4bf58dd8d48988d13b941735
165,Adıyaman,D.S.I. Adıyaman 204 şube müdürlüğü,Building,4bf58dd8d48988d130941735
166,Adıyaman,Özel Harekat Taburu,Military Base,4e52adeebd41615f56317744
167,Adıyaman,Yeşilyurt,Community Center,52e81612bcbc57f1066b7a34
168,Adıyaman,Kartal Tepesi Köy Kahvaltısı,Breakfast Spot,4bf58dd8d48988d143941735
169,Adıyaman,Tolgay Mimarlık | Adıyaman Özel Eğitim Mesleki Eğitim Merkezi,School,4bf58dd8d48988d13b941735
170,Adıyaman,kardelen çamaşırhane,Factory,4eb1bea83b7b6f98df247e06
171,Adıyaman,HRK Satış Ofisi,Office,4bf58dd8d48988d124941735
172,Adıyaman,Adıyaman Özel Eğitim Mesleki Eğitim Merkezi(Okulu),School,4bf58dd8d48988d13b941735
173,Adıyaman,Hacı Sakine Acar İş Eğitim Uygulama Okulu,Private School,52e81612bcbc57f1066b7a46
174,Adıyaman,Danış holding,Building,4bf58dd8d48988d130941735
175,Adıyaman,Mevlana Ortaokulu,Middle School,4f4533814b9074f6e4fb0106
176,Adıyaman,Öz Yapıcılar Ekmek,Bagel Shop,4bf58dd8d48988d179941735
177,Adıyaman,A.Ü AMELİYATHANE,Medical School,4bf58dd8d48988d1b3941735
178,Adıyaman,Pirin Magaralari,Mountain,4eb1d4d54b900d56c88a45fc
179,Adıyaman,Adıyaman Kadın Doğum  ve Çocuk Hastanesi,Hospital,4bf58dd8d48988d196941735
180,Adıyaman,La Melodika,Music School,4f04b10d2fb6e1c99f3db0be
181,Adıyaman,Ticaret Meslek Lisesi,Trade School,4bf58dd8d48988d1ad941735
182,Adıyaman,Adıyaman Merkez 3 Nolu ASM,Medical Center,4bf58dd8d48988d104941735
183,Adıyaman,NARLI BAHÇE ADIYAMAN,Outdoor Event Space,56aa371be4b08b9a8d57356a
184,Adıyaman,Adıyaman Çevik Kuvvet Şube Müdürlüğü,Business Center,56aa371be4b08b9a8d573517
185,Adıyaman,ADIYAMAN ÖZEL GÖZDE TIP MERKEZİ,Hospital,4bf58dd8d48988d196941735
186,Adıyaman,Adıyaman Özel Harekat Şube Müdürlüğü,Government Building,4bf58dd8d48988d126941735
187,Adıyaman,Pirin,Restaurant,4bf58dd8d48988d1c4941735
188,Adıyaman,400 Yataklı Hastane,Amphitheater,56aa371be4b08b9a8d5734db
189,Adıyaman,Adıyaman ömür eczanesi,Medical Center,4bf58dd8d48988d104941735
190,Adıyaman,Pirin,Water Park,4bf58dd8d48988d193941735
191,Adıyaman,Çevik Kuvvet Şube Müdürlüğü,Business Center,56aa371be4b08b9a8d573517
192,Adıyaman,12_A,School,4bf58dd8d48988d13b941735
193,Adıyaman,Malazgirt Eğitim Uygulama Merkezi,Private School,52e81612bcbc57f1066b7a46
194,Adıyaman,Özel İdare İlköğretim,General College & University,4bf58dd8d48988d1a8941735
195,Adıyaman,Girişoğulları Restaurant,Restaurant,4bf58dd8d48988d1c4941735
196,Adıyaman,Çınaraltı kebap salonu,Café,4bf58dd8d48988d16d941735
197,Adıyaman,Prim Perre,Historic Site,4deefb944765f83613cdba6e
198,Adıyaman,Perre Izgara Ve Mangal,Wings Joint,4bf58dd8d48988d14c941735
199,Afyon,Çakır Market,Convenience Store,4d954b0ea243a5684a65b473
200,Afyon,Patates Diyarı,Community Center,52e81612bcbc57f1066b7a34
201,Afyon,Arazide,Field,4bf58dd8d48988d15f941735
202,Afyon,MYKT İNŞAAT,Residential Building (Apartment / Condo),4d954b06a243a5684965b473
203,Afyon,Bozyer Tarlalıkları,Other Great Outdoors,4bf58dd8d48988d162941735
204,Afyon,Park Afyon,Park,4bf58dd8d48988d163941735
205,Afyon,03 VP 474,General Travel,4bf58dd8d48988d1f6931735
206,Afyon,Kral Tuğla,Factory,4eb1bea83b7b6f98df247e06
207,Afyon,Kolsan A.Ş. Kırma & Eleme Tesisi ve Kalker Ocakları,Factory,4eb1bea83b7b6f98df247e06
208,Afyon,Kolsan Hazır Beton,Factory,4eb1bea83b7b6f98df247e06
209,Afyon,A.K.Ü. Veteriner Fak. Mandacılık Tesisleri,University,4bf58dd8d48988d1ae941735
210,Afyon,Nuribey Belediyesi,Town Hall,52e81612bcbc57f1066b7a38
211,Afyon,Nuribey Zirve,Other Great Outdoors,4bf58dd8d48988d162941735
212,Afyon,S.M.M.Müşavir Abdullah Sancak,Financial or Legal Service,503287a291d4c4b30a586d65
213,Afyon,Murat Yapı Kömür Tic,Construction & Landscaping,5454144b498ec1f095bff2f2
214,Afyon,Fuar köseler petrol,Rest Area,4d954b16a243a5684b65b473
215,Afyon,Afyon Belediyesi Atıksu Arıtma Tesisi,Mountain,4eb1d4d54b900d56c88a45fc
216,Afyon,Celikler Holding Beton Trave,Factory,4eb1bea83b7b6f98df247e06
