Name,Address,City,PostalCode,Country,Latitude,Longitude
Jolly Joker Game Cafe,Corso Dante 50,Torino,10126,Italy,45.0474573,7.6722287
Brainstorm Cafe,Strada Alexandr Pușkin 52,Chisinau,MD-2012,Moldova,47.0225766,28.8323328
Spellencentrum Agartha,Legmeerdijk 169a,Aalsmeer,1432KA,Netherlands,52.2769577,4.810333
2 Klaveren,De Clercqstraat 136,Amsterdam,1052NP,Netherlands,52.3701341,4.8655748
Friends and Foes,Van Woustraat 202-A,Amsterdam,1073 NA,Netherlands,52.3504699,4.9036051
Escaping Breda,"Boschstraat 112 -116,",Breda,4811GK,Netherlands,51.5905267,4.7826581
Barbaar,Sint Agathaplein 4,Delft,2611HR,Netherlands,52.0115528,4.3540103
Bordspelers,Lange Groenendaal 82,Gouda,2801LV,Netherlands,52.0106533,4.7077238
Purperen Draak,Nieuwe Ebbingestraat 86a,Groningen,9712NP,Netherlands,53.2250801,6.5618769
The Boardroom,Kruisweg 60-62,Haarlem,2011LE,Netherlands,52.3861176,4.6363553
Spellenhuis,Torenstraat 142,The Hague,2513BW,Netherlands,52.0785974,4.303811
Board Game Cafe Samo,Orce Nikolov 75,Skopje,1000,North Macedonia,42.000078650000006,21.425332100000006
Jack Straws,"Rosepark, Upper Newtownards Road",Dundonald,BT4 3SB,Northern Ireland,54.5946385,-5.8280441
Robins Hobby Cafe,Holywood Road,Sydenham,BT4 1NT,Northern Ireland,54.5981241,-5.8872714
Grimfield Games,Storgaten 90,Grimstad,4877,Norway,58.345995,8.58067
Work Work,Munkegata 58,Trondheim,7011,Norway,63.4328383,10.3932376
Graciarnia,Dmowskiego 15,Gdansk,80-243,Poland,54.3795056,18.6071038
Ludiversum,Kamienna 7,Katowice,40-067,Poland,50.25717075,19.012200579517113
Boardowa,Topolowa 52,Krakow,31-506,Poland,50.0663409,19.9568567
Hex,Dwernickiego 5,Krakow,31-530,Poland,50.0594616,19.9489525
Kawadziescia,Tadeusza Krepowieckiego 10,Warsaw,01-456,Poland,52.2393589,20.9366297
Paradox Cafe,Anielewicza 2,Warsaw,00-157,Poland,52.2494786,20.9977604
AR-Bar,Rynek 5,Wroclaw,50-106,Poland,51.1105421,17.0302136
Hex,Dubois 33/35b,Wroclaw,50-207,Poland,51.1184727,17.0290922
K6 Pub - Planszówki & Cocktail Bar,Piotrkowska 6/4,Łódź,90-406,Poland,51.7752728,19.4550307
Pub Goblin,Wschodnia 74,Łódź,90-266,Poland,51.77142805,19.458857544335306
Ludoclube,Av. Padre Himalaia 39,Amadora,2720-046,Portugal,38.7472146,-9.2229739
Pow Wow,Rua Professor Fernando da Fonseca 19,Lisboa,1600-235,Portugal,38.7616283,-9.1651452
A Jogar é que a gente se entende,Rua Doutor Elias de Aguiar 244,Vila do Conde,4480-789,Portugal,41.3513908,-8.7444922
Creative Board Gaming,25 George Enescu,Bucharest,010303,Romania,44.4347011,26.079337
Snakes & Wizards,Strada Ilarie Chendi 5,Bucharest,021503,Romania,44.4396583,26.1308603
The Guild Hall,Strada Samuil Micu 4,Cluj-Napoca,400014,Romania,46.7683063,23.5866347
Harmony Cafe Iași,Bulevardul Carol 1,Iasi,700505,Romania,47.172163,27.574434
Retro Cafe,"Str. Lascăr Catargi, nr.50",Iasi,700107,Romania,47.1740239,27.5777855
FatCats Board Game Cafe,"Str. Principatele Unite, nr. 5",Ploiesti,100337,Romania,44.9311677,26.0241683
Le & Le Games,str. Artei nr. 3,Targu-Mures,540056,Romania,46.5432126,24.5592309
